"_id",DMA,COVID19,Coronavirus
5ec1bfc1dcf71743db47d57f,Terre Haute IN,57,62
5ec1bfc1dcf71743db47d580,Toledo OH,60,65
5ec1bfc1dcf71743db47d581,Topeka KS,56,60
5ec1bfc1dcf71743db47d582,Traverse City-Cadillac MI,88,82
5ec1bfc1dcf71743db47d583,Tri-Cities TN-VA,58,63
5ec1bfc1dcf71743db47d584,Tucson (Sierra Vista) AZ,64,71
5ec1bfc1dcf71743db47d585,Tulsa OK,62,58
5ec1bfc1dcf71743db47d586,Twin Falls ID,64,80
5ec1bfc1dcf71743db47d587,Tyler-Longview(Lufkin & Nacogdoches) TX,52,55
5ec1bfc1dcf71743db47d588,Utica NY,51,65
5ec1bfc1dcf71743db47d589,Victoria TX,42,54
5ec1bfc1dcf71743db47d58a,Waco-Temple-Bryan TX,49,51
5ec1bfc1dcf71743db47d58b,Washington DC (Hagerstown MD),60,76
5ec1bfc1dcf71743db47d58c,Watertown NY,58,57
5ec1bfc1dcf71743db47d58d,Wausau-Rhinelander WI,75,73
5ec1bfc1dcf71743db47d58e,West Palm Beach-Ft. Pierce FL,59,75
5ec1bfc1dcf71743db47d58f,Wheeling WV-Steubenville OH,61,73
5ec1bfc1dcf71743db47d590,Wichita Falls TX & Lawton OK,46,56
5ec1bfc1dcf71743db47d591,Wichita-Hutchinson KS,61,63
5ec1bfc1dcf71743db47d592,Wilkes Barre-Scranton PA,62,74
5ec1bfc1dcf71743db47d593,Wilmington NC,59,66
5ec1bfc1dcf71743db47d594,Yakima-Pasco-Richland-Kennewick WA,57,64
5ec1bfc1dcf71743db47d595,Youngstown OH,52,65
5ec1bfc1dcf71743db47d596,Yuma AZ-El Centro CA,60,60
5ec1bfc1dcf71743db47d597,Zanesville OH,66,68
