"_id",B,L_corona,b,convergent_point,country,county,county_FIPS,divergent_point,k,k_corona,l_corona,lat,lon,metro_area,modified_at,modified_at_corona,name,state,state_FIPS,t0,t0_corona,google_trend,distance,stretch_factor,average_procrustes_distance,first_peak_normal,first_peak_actual,second_peak_normal,second_peak_actual,first_peak_diff,second_peak_diff,google_trend_COVID19,google_trend_Coronavirus
5e88da2b7e859234c8cba950,-0.88007031696848,322.9621301300111,0.044764631849339945,44.51121099558634,US,King,53033,2.0283145300716363,0.17247231007911742,0.03216540648866528,-764.5281242262804,47.3,-122.26,Seattle,20200517,20200521,Community Transit,Washington,53,23.269762762828986,0,32,0.17511752836054942,2.670537668892063,0.5498397370497027,7.575,7.575,16.75,15.875,0.0,-0.875,74,78
5e88da2b7e859234c8cba951,-0.6237814272642818,179.47038295264753,0.015277905105352717,40.61437038972841,US,Franklin,39049,17.00743416888145,0.31038010285251727,0.05671133664673456,-77.1792545268079,40.07,-83.18,Columbus,20200517,20200521,COTA,Ohio,39,28.810902279304926,52,47,0.24050367908940237,1.649979398242232,0.5476056976584425,7.9,8.3,16.025,15.275,0.4,-0.75,58,69
5e88da2b7e859234c8cba952,-0.7541008341341898,110.2891382791947,-0.017487777543992007,35.67329114504126,US,Contra Costa,06013,17.442889393273955,0.40191781794106535,0.03989254656974987,-70.88581675248055,37.86,-121.64,SF Bay Area,20200517,20200521,County Connection,California,06,26.55809026915761,42,33,,,,,,,,,,65,78
5e88da2b7e859234c8cba953,-0.788370590775762,128.43065018144563,-0.014038446792522788,36.405919054811335,US,Cook,17031,20.432918981934563,0.4587192924828969,0.059125145810948986,-1071.169221304606,42.09,-87.98,Chicago,20200517,20200521,CTA,Illinois,17,28.41941901837295,2,48,0.36243280495561875,2.25995898426081,0.5908443199036028,7.625,7.897435897435898,17.0,14.9,0.28205128205128205,-2.1,63,72
5e88da2b7e859234c8cba954,-0.7483071233782036,50.82203665441694,-0.00969774790458613,43.73225385311159,US,Clark,53011,16.76066878791541,0.27166083396834284,0.038335828991171016,-30.31647766519988,45.93,-122.44,Vancouver,20200517,20200521,C-TRAN,Washington,53,30.246461320513497,45,34,,,,,,,,,,67,73
5e88da2b7e859234c8cba955,-0.6429498872117935,309.2537212864151,0.03742187246975368,38.16737022538077,US,Hartford,09003,20.224633019582974,0.40836151185961167,0.0644223935920382,-162.32366965991065,41.87,-72.67,Hartford,20200517,20200521,CTTransit Hartford,Connecticut,09,29.196001622481873,52,41,0.1159333021805794,1.5817815602743912,0.38097570381353335,8.0,8.285714285714286,15.85,14.625,0.3235294117647059,-1.225,65,72
5e88da2b7e859234c8cba956,-0.7195026881515046,309.2537212864151,0.05790360108747009,37.30553323432888,US,Hartford,09003,20.250220691568217,0.4296094412746122,0.0644223935920382,-162.32366965991065,41.87,-72.67,New Britain,20200517,20200521,CTTransit New Britain,Connecticut,09,28.777876962948547,52,41,,,,,,,,,,65,72
5e88da2b7e859234c8cba957,-0.6416290461384763,492.64456012847825,0.01842929226234348,39.42465835475656,US,New Haven,09009,19.208371033263603,0.3624366420865742,0.061116315905658324,-259.5845663064261,41.34,-73.06,New Haven,20200517,20200521,CTTransit New Haven,Connecticut,09,29.31651469401008,52,41,0.32505911553945344,1.569213917533814,0.45269979918038356,7.891891891891892,8.942857142857143,15.3,14.2,1.2121212121212122,-1.1,65,72
5e88da2b7e859234c8cba958,-0.7114203435452904,942.3087449757327,0.03342719115862622,39.14328591841819,US,Fairfield,09001,18.661114502733856,0.35773176308096455,0.05102170284682464,-552.9484778022595,41.39,-73.31,Stamford,20200517,20200521,CTTransit Stamford,Connecticut,09,28.902200210576023,47,36,,,,,,,,,,56,79
5e88da2b7e859234c8cba959,-0.8097751873186998,99.95676701915579,0.011799901457702603,36.47818393540539,US,Los Angeles,06037,18.181022104273488,0.40045135742268406,0.058253938519489706,-693.6242804686166,33.97,-118.24,Los Angeles,20200517,20200521,Culver CityBus,California,06,27.32960301983944,4,38,0.3495036117061462,2.8814647573957246,0.4733286659231924,7.0,7.525,16.65,15.675,0.525,-0.975,62,73
