system_name,wfh_pop,total_pop,wfh_pop_ratio,transit_pop,total_working_pop,transit_pop_rate,google_trend_Coronavirus,pp45,all_house,vehicle0_house,vehicle0_house_rate,black_pop,hispanic_pop,total_race_pop,black_ratio,hispanic_ratio,female_pop,female_ratio,median_income,date_emergency,base_value,b,base_point,county,county_FIPS,cliff_point,decay_rate,lat,lon,metro_area,state,state_FIPS,t0,first_case_date,stretch_factor,average_procrustes_distance,pop_den,area,employment,employ_den
 GTrans ,2390559,4869658,0.490909013,294952,4749180,0.062105879,73,0.381073498,3306109,298364,0.090246268,823987,4893603,10098052,0.081598609,0.484608616,5121264,0.507153657,72362,18,-0.637188954,-0.014353519,36.30076367,Los Angeles,6037,18.79045664,0.418446306,33.97,-118.24,Los Angeles,California,6,27.54561016,4,2.08897525,0.396856099,2488.312,4058.19327,4869658,1199.957143
 LA DOT ,2390559,4869658,0.490909013,294952,4749180,0.062105879,73,0.381073498,3306109,298364,0.090246268,823987,4893603,10098052,0.081598609,0.484608616,5121264,0.507153657,72362,18,-0.736466703,0.017781113,37.28424989,Los Angeles,6037,18.28410228,0.385635072,33.97,-118.24,Los Angeles,California,6,27.78417608,4,2.238020045,0.394252049,2488.312,4058.19327,4869658,1199.957143
 LA Metro - Bus ,2390559,4869658,0.490909013,294952,4749180,0.062105879,73,0.381073498,3306109,298364,0.090246268,823987,4893603,10098052,0.081598609,0.484608616,5121264,0.507153657,72362,18,-0.71888147,0.008047398,37.12401218,Los Angeles,6037,18.34112473,0.390095682,33.97,-118.24,Los Angeles,California,6,27.73256846,4,2.287202048,0.378196926,2488.312,4058.19327,4869658,1199.957143
 LA Metro - Rail ,2390559,4869658,0.490909013,294952,4749180,0.062105879,73,0.381073498,3306109,298364,0.090246268,823987,4893603,10098052,0.081598609,0.484608616,5121264,0.507153657,72362,18,-0.741779583,0.012614989,35.79343852,Los Angeles,6037,19.00202918,0.436361424,33.97,-118.24,Los Angeles,California,6,27.39773385,4,2.37917869,0.405106115,2488.312,4058.19327,4869658,1199.957143
 Long Beach Transit ,2390559,4869658,0.490909013,294952,4749180,0.062105879,73,0.381073498,3306109,298364,0.090246268,823987,4893603,10098052,0.081598609,0.484608616,5121264,0.507153657,72362,18,-0.734907137,0.01057794,37.1710398,Los Angeles,6037,18.58152157,0.394153479,33.97,-118.24,Los Angeles,California,6,27.87628068,4,2.020640483,0.41798214,2488.312,4058.19327,4869658,1199.957143
 Metrolink ,838954,1578079,0.531629912,32564,1546371,0.021058336,73,0.405309176,1032373,45380,0.043956981,54732,1080195,3164182,0.017297362,0.34138207,1601753,0.506213928,97050,18,-0.672494031,0.01864241,35.21972994,Orange,6059,19.06847027,0.45365646,33.84,-118,Los Angeles,California,6,27.14410011,4,2.193114173,0.354495209,3991.241,792.7815573,1578079,1990.559676
 Monterey-Salinas Transit ,70160,185025,0.379192001,3154,187205,0.016847841,67,0.358415741,126052,5984,0.047472472,11200,252588,433212,0.025853393,0.583058641,212245,0.489933335,72659,18,-0.914262692,0.006392742,39.88723875,Monterey,6053,17.94928272,0.333992979,35.85,-120.8,Monterey,California,6,28.91826073,56,1.973099173,0.755403618,132.0076,3281.720521,185025,56.38048664
 MTS ,822573,1564930,0.525629261,47933,1603486,0.029892996,74,0.376990299,1118980,61486,0.054948256,166412,1106925,3302833,0.050384624,0.335144102,1640902,0.496816521,86138,18,-0.752292874,-0.013943937,39.01014572,San Diego,6073,18.57738938,0.35859691,32.83,-116.76,San Diego,California,6,28.79376755,20,1.823612965,0.479473817,784.7512,4208.764272,1564930,371.826479
 MUNI - SFMTA ,333796,515382,0.647667167,178948,504358,0.354803532,78,0.401504981,359673,109968,0.305744384,45402,132651,870044,0.052183568,0.152464703,426074,0.489715463,122900,18,-0.890966981,-0.007192153,38.47821628,San Francisco,6075,13.90522273,0.298177887,37.77,-122.41,SF Bay Area,California,6,26.1917195,43,3.236900716,0.6990348,18565.53,46.86341404,515382,10997.53423
 NCTD ,822573,1564930,0.525629261,47933,1603486,0.029892996,74,0.376990299,1118980,61486,0.054948256,166412,1106925,3302833,0.050384624,0.335144102,1640902,0.496816521,86138,18,-0.846063428,0.039419718,38.83470039,San Diego,6073,18.46946849,0.3597859,32.83,-116.76,San Diego,California,6,28.65208444,20,,,784.7512,4208.764272,1564930,371.826479
